scan_date,code,name,score,trend,accel,ratio,actual_top20,market_condition
2026-03-11,4882,ペルセウスプロテオミクス,10.0,92.89,6400.44,16.01,0.0,NORMAL
2026-03-11,157A,グリーンモンスター,10.0,88.98,18604.22,13.45,0.0,NORMAL
2026-03-11,3553,共和レザー,8.44,55.46,376.59,7.32,0.0,NORMAL
2026-03-11,6907,ジオマテック,8.08,63.27,1093.42,6.25,0.0,NORMAL
2026-03-11,255A,ジーエルテクノホールディングス,7.81,39.12,304.16,5.44,0.0,NORMAL
2026-03-11,2375,ギグワークス,7.79,49.16,477.2,5.36,0.0,NORMAL
2026-03-11,6356,日本ギア工業,7.53,52.63,431.47,4.59,0.0,NORMAL
2026-03-11,6769,ザインエレクトロニクス,7.34,42.27,317.72,4.01,0.0,NORMAL
2026-03-11,4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,7.32,40.32,495.82,3.96,0.0,NORMAL
2026-03-11,192A,インテグループ,7.13,57.62,565.38,3.38,0.0,NORMAL
2026-03-11,6093,エスクロー・エージェント・ジャパン,7.12,54.81,399.11,3.37,0.0,NORMAL
2026-03-11,3927,フーバーブレイン,7.01,54.18,701.5,3.04,0.0,NORMAL
2026-03-11,9908,日本電計,6.84,32.43,369.31,2.52,0.0,NORMAL
2026-03-11,7613,シークス,6.83,35.69,289.17,2.83,0.0,NORMAL
2026-03-11,6466,ＴＶＥ,6.81,48.01,530.81,2.43,0.0,NORMAL
2026-03-11,4979,ＯＡＴアグリオ,6.79,46.8,290.77,2.64,0.0,NORMAL
2026-03-11,6521,オキサイド,6.78,56.51,194.45,5.51,0.0,NORMAL
2026-03-11,4586,メドレックス,6.7,50.86,488.73,2.09,0.0,NORMAL
2026-03-12,1776,三井住建道路,10.0,89.56,9473.33,13.04,,WEAK
2026-03-12,4890,坪田ラボ,10.0,90.05,10297.67,13.08,,WEAK
2026-03-12,7940,ウェーブロックホールディングス,10.0,87.73,3892.37,11.99,,WEAK
2026-03-12,2375,ギグワークス,10.0,81.23,1791.98,12.16,,WEAK
2026-03-12,4814,ネクストウェア,9.92,77.75,5747.46,11.75,,WEAK
2026-03-12,7064,ハウテレビジョン,9.89,82.28,1222.22,11.67,,WEAK
2026-03-12,4075,ブレインズテクノロジー,9.14,73.45,5599.1,9.41,,WEAK
2026-03-12,6907,ジオマテック,9.05,77.51,3590.55,9.16,,WEAK
2026-03-12,3840,パス,8.67,70.36,1684.96,8.0,,WEAK
2026-03-12,157A,グリーンモンスター,8.52,66.25,462.83,7.55,,WEAK
2026-03-12,6521,オキサイド,8.44,62.22,924.44,7.32,,WEAK
2026-03-12,2288,丸大食品,8.3,62.23,450.03,6.89,,WEAK
2026-03-12,1436,グリーンエナジー＆カンパニー,8.27,61.77,1188.89,6.81,,WEAK
2026-03-12,4884,クリングルファーマ,8.05,63.99,507.78,6.14,,WEAK
2026-03-12,2734,サーラコーポレーション,7.93,38.1,374.67,5.78,,WEAK
2026-03-12,4074,ラキール,7.91,66.26,1453.12,5.74,,WEAK
2026-03-12,1844,大盛工業,7.85,59.52,1671.68,5.54,,WEAK
2026-03-12,4026,神島化学工業,7.75,32.22,700.94,5.25,,WEAK
2026-03-12,4893,ノイルイミューン・バイオテック,7.55,52.59,3452.71,4.66,,WEAK
2026-03-12,5248,テクノロジーズ,7.49,58.55,2191.71,4.48,,WEAK
