verify_date,scan_date,code,name,score,ratio,morning_judgment,open_price,close_price,result_pct,grade,is_top20,market_condition
2026-03-12,2026-03-11,192A,インテグループ,7.13,3.38,UNKNOWN,1925.0,1897.0,-1.45,FAIL,0,NORMAL
2026-03-12,2026-03-11,6093,エスクロー・エージェント・ジャパン,7.12,3.37,UNKNOWN,189.0,193.0,2.12,B,0,NORMAL
2026-03-12,2026-03-11,3927,フーバーブレイン,7.01,3.04,UNKNOWN,1026.0,1044.0,1.75,FLAT,0,NORMAL
2026-03-12,2026-03-11,9908,日本電計,6.84,2.52,UNKNOWN,2563.0,2621.0,2.26,B,0,NORMAL
2026-03-12,2026-03-11,7613,シークス,6.83,2.83,UNKNOWN,1221.0,1205.0,-1.31,FAIL,0,NORMAL
2026-03-12,2026-03-11,6466,ＴＶＥ,6.81,2.43,PASS,5690.0,5370.0,-5.62,FAIL,0,NORMAL
2026-03-12,2026-03-11,4979,ＯＡＴアグリオ,6.79,2.64,UNKNOWN,2734.0,2900.0,6.07,A,0,NORMAL
2026-03-12,2026-03-11,6521,オキサイド,6.78,5.51,UNKNOWN,4725.0,4800.0,1.59,FLAT,0,NORMAL
2026-03-12,2026-03-11,4586,メドレックス,6.7,2.09,CAUTION,110.0,106.0,-3.64,FAIL,0,NORMAL
2026-03-13,2026-03-12,1776,三井住建道路,10.0,13.04,UNKNOWN,1995.0,1996.0,0.05,FLAT,0,WEAK
2026-03-13,2026-03-12,4890,坪田ラボ,10.0,13.08,UNKNOWN,433.0,413.0,-4.62,FAIL,0,WEAK
2026-03-13,2026-03-12,7940,ウェーブロックホールディングス,10.0,11.99,UNKNOWN,1059.0,1069.0,0.94,FLAT,0,WEAK
2026-03-13,2026-03-12,2375,ギグワークス,10.0,12.16,PASS,221.0,220.0,-0.45,FAIL,0,WEAK
2026-03-13,2026-03-12,4814,ネクストウェア,9.92,11.75,UNKNOWN,204.0,204.0,0.0,FLAT,0,WEAK
2026-03-13,2026-03-12,7064,ハウテレビジョン,9.89,11.67,UNKNOWN,1020.0,925.0,-9.31,FAIL,0,WEAK
2026-03-13,2026-03-12,4075,ブレインズテクノロジー,9.14,9.41,CAUTION,1622.0,1613.0,-0.55,FAIL,0,WEAK
2026-03-13,2026-03-12,6907,ジオマテック,9.05,9.16,CAUTION,1019.0,1049.0,2.94,B,0,WEAK
2026-03-13,2026-03-12,3840,パス,8.67,8.0,CAUTION,92.0,87.0,-5.43,FAIL,0,WEAK
2026-03-13,2026-03-12,157A,グリーンモンスター,8.52,7.55,CAUTION,1268.0,1362.0,7.41,A,0,WEAK
2026-03-13,2026-03-12,6521,オキサイド,8.44,7.32,PASS,4610.0,4455.0,-3.36,FAIL,0,WEAK
2026-03-13,2026-03-12,2288,丸大食品,8.3,6.89,UNKNOWN,2222.0,2230.0,0.36,FLAT,0,WEAK
2026-03-13,2026-03-12,1436,グリーンエナジー＆カンパニー,8.27,6.81,UNKNOWN,3835.0,4190.0,9.26,S,1,WEAK
2026-03-13,2026-03-12,4884,クリングルファーマ,8.05,6.14,UNKNOWN,394.0,397.0,0.76,FLAT,0,WEAK
2026-03-13,2026-03-12,2734,サーラコーポレーション,7.93,5.78,UNKNOWN,1060.0,1055.0,-0.47,FAIL,0,WEAK
2026-03-13,2026-03-12,4074,ラキール,7.91,5.74,UNKNOWN,698.0,695.0,-0.43,FAIL,0,WEAK
2026-03-13,2026-03-12,1844,大盛工業,7.85,5.54,UNKNOWN,665.0,629.0,-5.41,FAIL,0,WEAK
2026-03-13,2026-03-12,4026,神島化学工業,7.75,5.25,UNKNOWN,1875.0,1938.0,3.36,B,0,WEAK
2026-03-13,2026-03-12,4893,ノイルイミューン・バイオテック,7.55,4.66,UNKNOWN,163.0,180.0,10.43,S,1,WEAK
2026-03-13,2026-03-12,5248,テクノロジーズ,7.49,4.48,UNKNOWN,485.0,493.0,1.65,FLAT,0,WEAK
